대학명,단대명,학부/학과명,커리큘럼
서울대학교,공과대학,컴퓨터공학부,"컴퓨터과학이 여는 세계,컴퓨터과학적 사고와 실습,인공지능 입문,	인터넷 보안과 프라이버시,이산수학,프로그래밍연습,공학수학,전기전자회로,컴퓨터구조,컴퓨터프로그래밍,논리설계,자료구조,컴퓨터공학세미나,프로그래밍의 원리,알고리즘,시스템프로그래밍,	오토마타이론,운영체제,하드웨어시스템설계,프로그래밍언어,선형 및 비선형 계산모델,디지털신호처리,창의적통합설계,데이터마이닝 개론,데이터베이스,데이터통신,소프트웨어 개발의 원리와 실습,IT창업개론,임베디드시스템과 응용,소프트웨어공학,소프트웨어응용,모바일 컴퓨팅과 응용,인공지능,컴파일러,컴퓨터그래픽스,컴퓨터네트워크,컴퓨터모델링,멀티코어 컴퓨팅,컴퓨터보안,웹정보시스템IT-리더십 세미나,컴퓨터융합응용,인간컴퓨터상호작용,소셜 네트워크 분석,기계학습 개론,창의적통합설계,컴퓨터비전,컴퓨터 신기술 특강,인터넷 보안,양자 컴퓨팅 및 정보의 기초,블록체인의 이해,	딥러닝의 기초"
서울대학교,미술대학,동양화과,"한국미술과 문화	,서양미술사,동양화 기초,	평면조형,평면조형,입체조형,	기초시각디자인,기초공업디자인,	기초 도예,기초 금속공예, 동양미술사,한국미술사,소묘,전통채색기법,전통수묵기법,서예와 전각,한지제작기법	2,회화재료와 기법,조형론,한국회화사,	근현대동양회화사,창의성과 미술교육,한국근현대회화사,작품연구: 수묵채색회작품연구: 수묵화,	작품연구: 창작과정탐구,작품연구: 창작과 비평,신조형,벽화기법,	통합매체 "
서울대학교,미술대학,서양화과,"서양화 기초,평면조형,	입체조형,기초시각디자인,기초공업디자인,기초 도예,기초 금속공예,한국미술과 문화,서양미술사,	회화,	드로잉,서양근현대미술사,한국근현대미술사,작품연구: 형상과 표현,작품연구: 개념과 과정,작품연구: 창작의 구조,작품연구: 개념의 시각화,작품연구: 의미와 문맥,작품연구 : 매체와 표현,영상,사진,	설치,	판화,	초빙작가특강,작가와 작품론,미술과 문화이론,미술과 대중매체,현대미술의 쟁점,	미술교육론,미술교재연구 및 지도법	3학점"
서울대학교,미술대학,조소과,"조소기초,평면조형, 입체조형, 기초시각디자인 ,기초공업디자인,기초도예 ,기초금속공예 ,한국미술과 문화 ,서양미술사,조소 ,목조,석조,조각입문세미나,작품연구:소조, 작품연구:조각,작품연구:표현과 해석,작품연구:조형,작품연구:시간·조형, 주형기법,디지털조각,3D미디어 구현기법,점토조각연구,현대조각론,조각가 연구 세미나,공간예술의 이해,"
서울대학교,미술대학,디자인학부(공예),"공예와 문화,현대공예론,목공예 ,공예작가론 ,도자공예사,자유성형기법,물레성형,도자공예입문,도자와 문화, 개별연구 및 세미나  제품도자, 도자공예,도자재료연구,도자조형,도자산업 및 유통,금속공예사,금속공예 성형기법,장신구,금속재료 및 기법,금속공예,금속형태와 구조,제품금속,인체와 장식,공간과 장식"
서울대학교,미술대학,디자인학부(디자인),"디자인기초, 한국미술과 문화,평면조형,입체조형, 매체의기초,서양미술사,신입생 세미나,창조와 디자인,예술·디자인과 녹색사회 ,디자인과 생활,기초시각디자인 ,애니매이션,사진,VD컴퓨테이션,디자인의요소와원리,공간디자인컨셉스터디,타이포그래피디자인         ,미디어디자인프로그래밍,  디자인사진, ID컴퓨테이션, 현대디자인론 , 기초모형제작실습, 제품리버스디자인,구조와재료디자인,디자인과정과방법,디자인과 문화,영상디자인,일러스트레이션,편집디자인,정보인터랙션디자인 ,디자인리서치 ,미디어프리젠테이션 ,제품디자인 , 인간행태와디자인,디지털패브리케이션,주거공간디자인,아이덴티티디자인, 공공커뮤니케이션디자인 , 미디어인터랙션디자인,AV디자인,디자인실습 ,디자인사고및연구,운송기기디자인,사회적이슈와디자인,사물인터랙션디자인,도시공간디자인,디자인사 ,시각디자인프로젝트,브랜드디자인프로젝트,미디어디자인프로젝트,모션그래픽디자인프로젝트,제품시스템디자인프로젝트, 운송기기디자인프로젝트,졸업전시프로젝트퍼블리케이션,공간디자인프로젝트,디자인포트폴리오,디자인비즈니스     "
서울대학교,연합전공,계산과학,"계산과학의 이해,계산과학이론 및 실습,계산과학의 기초와 역사, 계산과학 모델과 데이터, 수치선형대수,과학적 가시화의 기초 및 실습,과학계산개론,자료구조,수치해석개론,선형 및 비선형 계산모델,알고리즘,데이터과학,언어와 정보처리,컴퓨터 애니메이션,언어와 정보처리,응용 계산과학,계산과학 주제연구,계산과학 종합설계"
서울대학교,연합전공,정보문화학,"정보문화기술입문,HCI이론 및 실습,디지털 미디어의 이해,영상미학 ,영상 문화 입문 ,언론정보문화특강 ,인터페이스프로그래밍,디지털영상실습,문화컨텐츠의 이해,정보문화연구방법론 ,게임의 이해,멀티미디어 발상연습,인터랙티브스토리텔링,가상현실입문,창의연구실습,산학연구실습,비주얼라이제이션,인터넷과 지식기술,시리어스 게임,디지털음향의 이해,사운드인터랙션,인터랙티브미디어,디지털애니메이션의 이해,사용자중심디자인,정보문화세미나,정보구조,웹프로그래밍개론,디지털에쓰노그래피,정보기술 실습,고급 인터페이스 프로그래밍,HCI와 디지털 패브리케이션,디자인 사고와 커뮤니케이션,커뮤니케이션 질적방법론,데이터 저널리즘,미래뉴스실습 "
서울대학교,연합전공,인공지능,"인공지능 심화 프로젝트,인공지능 이론 및 응용 세미나,컴퓨터프로그래밍, 프로그래밍방법론,자료구조,자료구조의 기초,알고리즘,알고리즘의 기초,인공지능,AI와 법,기계학습 개론,기계학습 기초 및 전기정보 응용,컴퓨터비전,컴퓨터비젼의 기초,딥러닝의 기초,확률변수 및 확률과정의 기초,확률의 개념 및 응용,데이터 관리와 분석,경영과학,데이터마이닝방법 및 실습,데이터마이닝,데이터마이닝 개론,다변량자료분석 및 실습,딥러닝,컴퓨터청각,소셜컴퓨팅, 융합과학기술대학원 지능정보융합학과,전기시스템선형대수,산업경영수리기법,선형대수학"
연세대학교,인공지능융합대학,컴퓨터과학,"컴퓨터프로그래밍,객체지향프로그래밍 ,확률통계 ,컴퓨터과학입문,자료구조,컴퓨터시스템,인터넷프로그래밍,디지털논리회로실습,논리회로설계,프로그래밍언어구조론,멀티미디어개론,운영체제,컴퓨터아키텍쳐,컴퓨터그래픽스,오토메타형식언어,인공지능,선형대수와그응용 ,컴퓨터교육교재연구및지도법,컴퓨터네트워크,데이터베이스,소프트웨어공학,시스템프로그래밍,알고리즘분석,컴퓨터교육론,컴퓨터교육논리논술,데이터마이닝,컴퓨터비전,소프트웨어종합설계,창의소프트웨어설계,정보보호,임베디드컴퓨팅 ,멀티코어및GPU프로그래밍,기계학습,빅데이터, 소프트웨어인턴쉽,컴파일러설계,인간과컴퓨터인터페이스,소프트웨어종합설계,AIM캡스톤디자인,이산구조,멘토세미나,주니어세미나,미래컴퓨터과학전공탐색,컴퓨터과학 연구과제"
연세대학교,인공지능융합대학,인공지능학,"컴퓨터프로그래밍,객체지향프로그래밍,자료구조,이산구조, 확률통계,인공지능개론,선형대수와그응용,알고리즘분석,확률그래프모델 ,기계학습,분산학습시스템 ,빅데이터분석및모델링,멀티모덜데이터처리,텍스트마이닝,데이터마이닝,딥러닝 ,GPU프로그래밍,정보검색및추천시스템,로봇인공지능,컴퓨터비전,강화학습 ,인공지능종합설계, HCI&AI,예측및의사결정시스템,자연어처리, AI보안,데이터모델및시각화,AI윤리"
연세대학교,글로벌창의융합대학,산업디자인학전공,"제품디자인실습, CAPD실습,조형구성실습,인지와디자인실습,재료구조실습,인간공학실습,디자인방법론실습,시스템디자인실습,실내디자인실습,인터랙션디자인실습,공간디자인실습,이모션디자인실습 ,디자인기획실습,현대디자인세미나 ,디자인프리젠테이션 ,기구장치설계실습,조형구성실습,인지와디자인실습,디자인리서치,생태환경디자인실습,재료구조실습,인간공학실습,디자인방법론실습,시스템디자인실습 ,고급CAPD실습 ,제품조형론,실내디자인실습 ,물질문화론,인터랙션디자인실습 ,공간디자인실습,디지털제품론,디자인기술론,산업디자인사,이모션디자인실습,디자인기획실습,현장기술연구,학제간연구,포트폴리오제작,졸업연구,현대디자인세미나"
연세대학교,글로벌창의융합대학,시각디자인학전공,"정보미디어실습,편집디자인개론,편집디자인,일러스트레이션,타이포그래피,사진과디지털이미지,시각디자인,타입&이미지,인터랙티브디자인(캡스톤디자인), 모션그래픽스,패키지디자인(캡스톤디자인) ,그래픽디자인,비주얼인터랙션디자인(캡스톤디자인),정보디자인,비주얼콘텐츠디자인(캡스톤디자인),아이덴티티디자인,졸업작품워크샵(캡스톤디자인) ,브랜드커뮤니케이션디자인,광고콘텐츠디자인,인터랙션디자인스튜디오,포트폴리오웍샵(캡스톤디자인) ,졸업프로젝트(캡스톤디자인), 영상콘텐츠디자인,전공세미나 ,브랜드커뮤니케이션디자인 ,문화콘텐츠디자인(캡스톤디자인),실무사례연구,디자인실무워크샵,융합디자인워크샵(캡스톤디자인),졸업작품워크샵(캡스톤디자인) ,광고콘텐츠디자인,인터랙션디자인스튜디오 ,포트폴리오웍샵,졸업프로젝트(캡스톤디자인) 그래픽디자인실무기초,커뮤니케이션테크놀러지"
연세대학교,글로벌창의융합대학,디지털아트학전공,"감각과논리,피지컬컴퓨팅 ,DVA기초,디지털언어,디자인바이스트럭쳐,예술과뉴미디어,라이팅디자인, 키네틱아트,뉴미디어기획,인터랙티브워크샵,토이디자인,졸업작품연구,디지털아트학,디지털아트학심화,DVA심화,미디어시스템디자인,볼륨메트릭디스플레이,디지털영상,제너러티브아트,디지털아트프로젝트,파라메트릭디자인,믹스드리얼리티"
연세대학교,소프트웨어디지털헬스케어융합대학,소프트웨어전공,"데이터구조론,오픈소스SW와리눅스,객체지향프로그래밍,논리회로설계,회로이론,기초데이터구조,알고리즘기초,시스템프로그래밍,웹프로그래밍,컴퓨터구조론,신호및시스템,선형대수입문,SW창의설계,기초알고리즘,기초프로그래밍,운영체제,프로그래밍언어구조론,윈도우프로그래밍,확률및랜덤변수,선형대수활용,AI수학,SW프로젝트,실전영어 ,소프트웨어공학,병렬프로그래밍,모바일프로그래밍,인공지능,데이터베이스,데이터마이닝 ,디지털신호처리,수치해석과최적화,임베디드시스템,컴퓨터네트워크,정보보안,오픈소스SW응용과제, 융합SW-P,융합SW인턴십,융합SW프로젝트,컴파일러설계,웹서비스응용, 소프트웨어검증,알고리즘분석,SW엔지니어소양세미나,SW인턴십,SW장기인턴십,AI수학,마이크로프로세서,통신시스템,암호학,영상처리,디지털통신,소프트웨어공학,인공지능,데이터베이스,데이터마이닝, 디지털신호처리,수치해석과최적화,그래프이론과활용,임베디드시스템,컴퓨터네트워크, 정보보안,기계학습개론 ,빅데이터처리,지능형멀티미디어시스템 , 수치편미분방정식,로봇알고리즘,임베디드하드웨어설계,산학공동프로젝트,학부연구,자연어처리,바이오컴퓨팅, 정보검색, 스마트미디어통신,모델링및시뮬레이션,산업수학과역문제,IoT응용프로그래밍,정보보안응용,디지털포렌식, 프로젝트몰입과제,PBL2Startup프로젝트,SW엔지니어소양세미나,융합캡스톤디자인,SW인턴십"
고려대학교,정보대학,컴퓨터학,"알고리즘 ,컴퓨터구조, 운영체제,컴퓨터네트워크,인공지능,이산수학,프로그래밍언어,계산이론,논리설계,데이터통신,공학수학,회로이론,전자기학,컴파일러,컴퓨터시스템설계,시스템프로그래밍,컴퓨터그래픽스,소프트웨어공학,정보보호,기계학습,정보와 정보학,데이터베이스,데이터베이스시스템,디지털신호처리,확률및랜덤과정,신호및시스템,기업가정신과리더쉽,창의적소프트웨어창업방법론,사물인터넷설계,현장실습및창업실습,  컴퓨터학콜로키움,개별연구,저전력컴퓨팅,인공지능과자율주행자동차,소프트웨어검증,임베디드시스템,볼록최적화입문,인간컴퓨터상호작용입문,게임프로그래밍,인터렉티브시각화,인터넷프로토콜,클라우드컴퓨팅,모바일네트워크,소프트웨어보안,스타트업프로젝트 관리,자연어처리,데이터과학,정보검색,딥러닝,무선회로설계,무선보안,정보이론과 추론학습,전산학특강,캡스톤디자인"
고려대학교,정보대학,데이터과학,"컴퓨터프로그래밍,통계계산프로그래밍,전산수학, 행렬이론,기초통계학,미적분학및연습,통계수학,자료구조,알고리즘,컴퓨터구조,운영체제,컴퓨터네트워크,인공지능,정보보호,기계학습,데이터베이스,확률및랜덤과정,볼록최적화입문,인간컴퓨터상호작용입문,인터렉티브시각화 ,자연어처리,정보검색,딥러닝,데이터실험설계및분석,기초컴퓨터비전이론 및 응용,고급기계학습 ,빅데이터분석 ,디자인사고,데이터시각화, 강화학습,데이터프리젠테이션,데이터과학응용,졸업프로젝트(캡스톤디자인),선형대수 및연습,확률과정개론,확률론 입문,수리통계학,시계열분석,통계계산방법,회귀분석,범주형자료분석,통계적데이터과학 ,다변량통계분석,베이즈통계입문,전 통계적머신러닝,선형방법론"
고려대학교,융합전공,소프트웨어 벤처 융합 전공,"자료구조,자료구조 및 알고리즘, 데이터구조 및 알고리즘,소프트웨어공학, 기업가정신과 리더쉽,창의적소프트웨어창업방법론,스타트업프로젝트 관리,스타트업,이산수학,데이터베이스,컴퓨터시스템설계,운영체제,알고리즘 ,캡스톤디자인,종합설계,확률 및 랜덤과정,수리통계 및 실습,확률 및 랜덤프로세스 ,계산이론,논리설계,디지털시스템,컴퓨터구조,공학수학, 데이터통신,데이터네트워크, 컴파일러 ,코드 및  시스템최적화,컴퓨터 네트워크,인공지능,컴퓨터 그래픽스,정보검색,기계학습,인간컴퓨터상호작용입문,무선통신,시스템프로그래밍,임베디드시스템,인터넷프로토콜,정보보호,게임프로그래밍,현장실습및창업실습,데이터과학,프로그래밍 언어,회로이론 ,전기회로,프로세서구조,클라우드컴퓨팅,자연어처리,전산학특강,현장실습,응용통계 및 실습,경영공학개론,OR-Ⅰ 및 실습,휴먼인터페이스,인간공학,OR-Ⅱ 및 실습,데이터마이닝,시뮬레이션 및 실습 ,최적화이론,품질공학회사법, 지적재산권법개론,마케팅원론,재무관리,오퍼레이션스 관리,중급회계,경영정보시스템,벤처경영,디지털플랫폼비즈니스,조직행동론,국제경영론,IT기반 비즈니스모델,경영전략"
고려대학교,융합전공,정보보호융합전공,"운영체제 ,정보보호 ,역공학기법,컴파일러 ,시스템프로그래밍 ,컴퓨터네트워크,소프트웨어공학,현장실습및창업실습,인터넷프로토콜,소프트웨어보안,캡스톤디자인,정보보호의이해, IoT개론,암호수학,암호알고리즘,위험관리,디지털포렌식개론,악성코드,침해사고대응관리,정보보호시스템평가방법론,기초해킹실습,시큐어코딩,고급해킹실습,지적재산권법개론,확률과통계및연습"
고려대학교,융합전공,인공지능융합전공,"기계학습,자료구조, 확률및랜덤과정,인공지능과 윤리,인공지능 응용과 이해,뇌 및 인지과학 개론,뇌 및 의공학 입문,생명물리학,생체신호처리,의학영상처리,공학수학,인공지능,자연어처리,딥러닝,정보이론과 추론학습 ,선형대수,데이터마이닝,패턴인식,컴퓨터비젼,수치해석,로봇공학"
고려대학교,디자인조형학부,산업정보디자인,"2D기초조형 ,기초디자인-2D ,제품디자인스튜디오,디자인표현기법,3D그래픽스,기초디자인-3D,4D컴퓨터그래픽,디자인과발상,재료와프로세스,기초정보디자인,디자인프로토타입핑,디자인워크샵,인터랙티브컴퓨팅,디자인과조형,디자인 인간요소,디자인방법론,인터랙션디자인,공공디자인,디자인마케팅,디자인사고,인터페이스디자인,신개념가구디자인,제품시스템디자인,제품개발,디지털디자인프로젝트,디자인브랜딩포트폴리오,디자인세미나,디자인사례연구"
고려대학교,디자인조형학부,조형미술,"선묘와드로잉,현대회화기법,제품디자인스튜디오,전통회화연구,한국화ll-색채기법,졸업연구(종합설계),미술사,한국화스튜디오,디자인표현기법,현대미술워크샵,3D그래픽스,기초매체연구,기초디자인-3D, 4D컴퓨터그래픽,미디어와공간,디자인과발상, 종이&섬유, 재료와프로세스,전통회화연구,기초정보디자인,회화STUDIO,디자인프로토타입핑,평면재료기법,디자인워크샵,인터랙티브컴퓨팅,디자인과조형 ,디자인 인간요소,현대창작실기,디자인방법론, 신조형,인터랙션디자인,미술사,공공디자인 ,현대창작실기,디자인마케팅,뉴미디어아트,디자인사고,인터페이스디자인,신개념가구디자인,제품시스템디자인(종합설계),조형론,제품개발(종합설계),개별창작스튜디오,디지털디자인프로젝트,평면스튜디오,디자인브랜딩,한국미술세미나,포트폴리오,디자인세미나,NEW FORMS,디자인사례연구, 개별작품연구"
고려대학교,과학기술대학,응용수리과학부 데이터계산과학전공,"해석학및연습,선형대수학및연습,미분방정식및연습,편미분방정식및연습,이산수학,기하학및연습,다변수함수론및연습,수치해석학및연습,집합론,정수론및응용,계산수학,대수학과응용및연습,위상수학및연습,복소수해석학,수리통계학및연습,응용수학개론및연습,확률론,미분기하학,그래프론과응용및연습, 산업수학,금융수학개론,보험수학,위상데이터분석,실해석학,대수적위상수학 ,수학적모델링,수리금융파생상품론,실무데이터분석"
고려대학교,과학기술대학,인공지능사이버보안학과,"암호수학  ,정보보호개론 , 리눅스활용및실습,파이썬프로그래밍,자료구조론,선형대수학,이산수학과응용,객체지향프로그래밍기초와실습,데이터사이언스 ,사이버해킹기초와실습, 컴퓨터구조설계이론,웹프로그래밍,인공지능개론,현대암호,수치최적화이론,운영체제의이해,데이터통신네트워크,인공지능최적화기초 ,기계학습개론,시스템보안,암호SW개발,역공학,시스템프로그래밍실습,심층학습,네트워크보안,부채널분석,빅데이터응용및보안,디지털포렌식이론과실습,데이터베이스설계및보안,스마트시티보안관제,캡스톤디자인,대수학,모바일프로그래밍,강화학습,컴퓨터보안론,사이버법과정책,무선이동시스템및보안,악성코드분석,해킹방어이론과실습,블록체인과분산시스템,산학연계캡스톤디자인,컴파일러,인공지능보안시스템개발,신호정보해독및응용,IoT보안,모바일및핀테크보안,양자계산과보안, 비대면시대의산업보안,고급프라이버시암호학"
고려대학교,과학기술대학,컴퓨터융합소프트웨어학과,"자료구조.디지털시스템,프로그래밍언어론. 시스템소프트웨어.정보통신,컴퓨팅사고.빅데이터개론,Linux 실습,컴퓨터구조, IoT개론 ,윈도우즈프로그래밍및실습,객체지향프로그래밍및실습,어셈블리언어및실습 ,확률 및 통계,창의성설계,이산구조 및 연습,운영체제,인공지능,컴파일러, 데이터베이스,수치해석,스마트IoT,컴퓨터네트워크,정보보호,알고리즘,컴퓨터그래픽스,빅데이터분석방법론,전산선형대수학 ,리눅스시스템프로그래밍실습,소프트웨어공학 및 실습,프로그램개발방법론및실습,네트워크프로그래밍및실습,임베디드컴퓨팅시스템,오토마타,소프트웨어응용,클라우드컴퓨팅,ICT응용기술, 창업시뮬레이션,최적화기법입문 ,컴퓨터비전,빅데이터분산처리시스템,데이터마이닝,게임프로그래밍실습,지능형웹서비스,임베디드시스템하드웨어실습 , 정보보호응용및실습, GPGPU프로그래밍,컴퓨터통신및실습,인터넷응용및실습 ,머신러닝실습,인터넷서버구축및관리실습,인터넷및네트워크보안실습 ,멀티미디어시스템,병렬프로그래밍실습,스마트폰애플리케이션,프로그래밍실습, ICT학점연계프로젝트인턴십,캡스톤디자인"
고려대학교,과학기술대학,미래모빌리티학과,"자료구조개론, 기초역학개론, 통신및네트워크, 자동제어,영상처리및딥러닝,교통체계운영및분석,IoT개론, 객체지향프로그래밍및실습, 확률및통계, 기초공업수학, Linux 실습, 전기회로I,  빅데이터개론, AI-빅데이터 공학수학, 공학수학,임베디드컴퓨팅,  IoT 기초 PBL I, 자율주행 기반기술 PBL, 자율주행 심화 PBL, 로봇 설계/주행 PBL, 자율주행차 플랫폼 기반 AI 및 IoT 융합 PBL,자율주행을 위한 인공지능, 인공지능 로보틱스,자율주행시스템개론, 도시교통 계획및 의사결정, 도시모빌리티 시뮬레이션 모델링,데이터베이스,  모빌리티정보학,  자율주행 센서 및 데이터처리, 스마트자동차공학, 클라우드컴퓨팅개론, 자율주행 시뮬레이션 응용,  차량운동학,  IoT보안,  디지털트윈개론,  MassS:  통합 모빌리티서비스,이동로봇 운행시스템,자율주행 통신시스템,자율주행 안전시스템, 네트워크 기반 자율주행 PBL,  자율주행 빅데이터 분석 PBL,자율주행시스템 융합설계 PBL"
